Water_Consumed,Hydration_Level
2.42,Very High
0.74,Low
1.45,Medium
1.54,High
0.89,Low
1.73,High
0.68,Low
2.08,Very High
1,Low
0.25,Very Low
1.77,High
0.91,Low
0.8,Low
0.96,Low
2.34,Very High
0.64,Low
1.27,Medium
0.87,Low
1.01,Medium
0.48,Very Low
0.53,Very Low
0.39,Very Low
2.19,Very High
0.34,Very Low
2.47,Very High
1.05,Medium
2.47,Very High
1,Medium
0.44,Very Low
0.64,Low
1.87,High
2.39,Very High
2.17,Very High
1.7,High
0.87,Low
0.54,Very Low
1.32,Medium
1.89,High
0.66,Low
0.9,Low
0.43,Very Low
1.58,High
1.8,High
0.53,Very Low
1.47,Medium
1.01,Medium
0.23,Very Low
1.15,Medium
0.26,Very Low
2.23,Very High
2.16,Very High
1.48,Medium
0.56,Very Low
0.5,Very Low
0.59,Very Low
0.93,Low
2,Very High
2.13,Very High
0.99,Low
2.28,Very High
2.04,Very High
1.81,High
0.2,Very Low
1.78,High
1.47,Medium
0.31,Very Low
2.49,Very High
1.95,High
1.27,Medium
1.56,High
1.4,Medium
2.04,Very High
0.79,Low
1.52,High
1.6,High
0.34,Very Low
0.33,Very Low
1.89,High
1.11,Medium
2.31,Very High
2.12,Very High
0.84,Low
1.75,High
1.1,Medium
0.68,Low
1.25,Medium
1.84,High
2.29,Very High
1.55,High
2.39,Very High
1.18,Medium
2.49,Very High
1.33,Medium
